protein_id,accession,host_type,product,length
YDD24551.1,PX673726.1,algae,bifunctional chitinase/lysozyme,550
YDD24552.1,PX673726.1,algae,transposase,252
YDD24553.1,PX673726.1,algae,transposase,178
YDD24554.1,PX673726.1,algae,hypothetical protein,203
YDD24555.1,PX673726.1,algae,ORFan,336
YDD24556.1,PX673726.1,algae,DNA polymerase,753
YDD24557.1,PX673726.1,algae,DNA polymerase,143
YDD24558.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,241
YDD24559.1,PX673726.1,algae,nuclear pore complex protein,1338
YDD24560.1,PX673726.1,algae,putative DNA polymerase sliding clamp 2,262
YDD24561.1,PX673726.1,algae,hypothetical protein,152
YDD24562.1,PX673726.1,algae,cytoskeleton protein RodZ,101
YDD24563.1,PX673726.1,algae,tRNA-specific adenosine deaminase subunit,118
YDD24564.1,PX673726.1,algae,large-conductance mechanosensitive channel protein,94
YDD24565.1,PX673726.1,algae,circadian clock protein KaiB,113
YDD24566.1,PX673726.1,algae,P6 mCP,216
YDD24567.1,PX673726.1,algae,PBCV-specific basic adaptor domain-containing protein,206
YDD24568.1,PX673726.1,algae,arginine/ornithine decarboxylase,372
YDD24569.1,PX673726.1,algae,HNH homing endonuclease,348
YDD24570.1,PX673726.1,algae,serine/threonine protein kinase,300
YDD24571.1,PX673726.1,algae,hypothetical protein,55
YDD24572.1,PX673726.1,algae,P18 mCP,148
YDD24573.1,PX673726.1,algae,hypothetical protein,136
YDD24574.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,364
YDD24575.1,PX673726.1,algae,alginate lyase,321
YDD24576.1,PX673726.1,algae,amino oxidase,397
YDD24577.1,PX673726.1,algae,cellulose synthase catalytic subunit,634
YDD24578.1,PX673726.1,algae,DpsA,137
YDD24579.1,PX673726.1,algae,hypothetical protein,77
YDD24580.1,PX673726.1,algae,hypothetical protein,196
YDD24581.1,PX673726.1,algae,ubiquitin carboxyl-terminal hydrolase,383
YDD24582.1,PX673726.1,algae,hypothetical protein,112
YDD24583.1,PX673726.1,algae,hypothetical protein,108
YDD24584.1,PX673726.1,algae,homospermidine synthase,516
YDD24585.1,PX673726.1,algae,hypothetical protein,345
YDD24586.1,PX673726.1,algae,protein phosphatase 1 regulatory subunit,148
YDD24588.1,PX673726.1,algae,helicase protein,725
YDD24589.1,PX673726.1,algae,Cu/Zn superoxide dismutase,166
YDD24590.1,PX673726.1,algae,chitin binding domain-containing protein,96
YDD24853.1,PX673726.1,algae,chitin binding domain-containing protein,54
YDD24591.1,PX673726.1,algae,chitin binding domain-containing protein,152
YDD24592.1,PX673726.1,algae,serine/threonine-protein kinase,308
YDD24593.1,PX673726.1,algae,potassium channel protein,94
YDD24594.1,PX673726.1,algae,hypothetical protein,150
YDD24595.1,PX673726.1,algae,chloramphenicol acetyltransferase,183
YDD24596.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,293
YDD24597.1,PX673726.1,algae,P7 mCP,214
YDD24598.1,PX673726.1,algae,Poxvirus A22-like protein,249
YDD24599.1,PX673726.1,algae,HNH homing endonuclease,341
YDD24600.1,PX673726.1,algae,AB hydrolase,264
YDD24601.1,PX673726.1,algae,hypothetical protein,138
YDD24602.1,PX673726.1,algae,histone-lysine N-methyltransferase,186
YDD24603.1,PX673726.1,algae,hypothetical protein,243
YDD24604.1,PX673726.1,algae,serine/threonine protein kinase,303
YDD24605.1,PX673726.1,algae,PBCV-specific basic adaptor domain-containing protein,610
YDD24606.1,PX673726.1,algae,serine/threonine protein kinase,569
YDD24607.1,PX673726.1,algae,Amindase,279
YDD24608.1,PX673726.1,algae,P19 mCP,378
YDD24609.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,268
YDD24610.1,PX673726.1,algae,serine/threonine protein kinase,283
YDD24611.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,296
YDD24612.1,PX673726.1,algae,chitosanase,332
YDD24613.1,PX673726.1,algae,nucleotide-sugar epimerase,315
YDD24614.1,PX673726.1,algae,hypothetical protein,157
YDD24615.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,294
YDD24616.1,PX673726.1,algae,ORFan,170
YDD24617.1,PX673726.1,algae,ORFan NMG-1,314
YDD24618.1,PX673726.1,algae,putative phosphohistidine phosphatase,179
YDD24619.1,PX673726.1,algae,methyltransferase FkbM,225
YDD24620.1,PX673726.1,algae,hypothetical protein,241
YDD24621.1,PX673726.1,algae,hypothetical protein,78
YDD24622.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,248
YDD24623.1,PX673726.1,algae,protein phosphatase,211
YDD24624.1,PX673726.1,algae,hypothetical protein,86
YDD24625.1,PX673726.1,algae,hypothetical protein,119
YDD24626.1,PX673726.1,algae,P1 mCP,170
YDD24627.1,PX673726.1,algae,hypothetical protein,238
YDD24628.1,PX673726.1,algae,Tax1-bindin protein,71
YDD24629.1,PX673726.1,algae,P17 mCP,80
YDD24630.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,189
YDD24631.1,PX673726.1,algae,E3 ubiquitin protein ligase,444
YDD24632.1,PX673726.1,algae,hypothetical protein,118
YDD24633.1,PX673726.1,algae,hypothetical protein,116
YDD24634.1,PX673726.1,algae,hypothetical protein,178
YDD24635.1,PX673726.1,algae,hypothetical protein,454
YDD24636.1,PX673726.1,algae,diadenosine tetraphosphate hydrolase,209
YDD24637.1,PX673726.1,algae,hypothetical protein,367
YDD24638.1,PX673726.1,algae,hypothetical protein,96
YDD24639.1,PX673726.1,algae,hypothetical protein,52
YDD24640.1,PX673726.1,algae,hypothetical protein,61
YDD24641.1,PX673726.1,algae,chitin binding domain-containing protein,393
YDD24642.1,PX673726.1,algae,hypothetical protein,269
YDD24643.1,PX673726.1,algae,hypothetical protein,135
YDD24644.1,PX673726.1,algae,P2 mCP,555
YDD24645.1,PX673726.1,algae,hypothetical protein,111
YDD24646.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,250
YDD24647.1,PX673726.1,algae,hypothetical protein,122
YDD24648.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,365
YDD24649.1,PX673726.1,algae,P11 mCP,207
YDD24650.1,PX673726.1,algae,hypothetical protein,342
YDD24651.1,PX673726.1,algae,helicase protein,1159
YDD24652.1,PX673726.1,algae,hypothetical protein,153
YDD24653.1,PX673726.1,algae,calcium-activated potassium channel subunit domain-containing protein,173
YDD24654.1,PX673726.1,algae,P7 mCP,262
YDD24655.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,209
YDD24656.1,PX673726.1,algae,major capsid protein VP54,486
YDD24657.1,PX673726.1,algae,P7 mCP,60
YDD24658.1,PX673726.1,algae,chitin binding domain-containing protein,606
YDD24659.1,PX673726.1,algae,amino acid ABC transporter ATP-binding protein,259
YDD24660.1,PX673726.1,algae,hypothetical protein,121
YDD24661.1,PX673726.1,algae,hypothetical protein,82
YDD24662.1,PX673726.1,algae,hypothetical protein,152
YDD24663.1,PX673726.1,algae,hypothetical protein,118
YDD24664.1,PX673726.1,algae,RNase H,194
YDD24665.1,PX673726.1,algae,hypothetical protein,118
YDD24666.1,PX673726.1,algae,transferase,277
YDD24667.1,PX673726.1,algae,mannan polymerase,227
YDD24668.1,PX673726.1,algae,signaling protein,93
YDD24669.1,PX673726.1,algae,P11 mCP,197
YDD24670.1,PX673726.1,algae,hypothetical protein,52
YDD24671.1,PX673726.1,algae,DnaK suppressor protein,112
YDD24673.1,PX673726.1,algae,hypothetical protein,70
YDD24674.1,PX673726.1,algae,DnaK suppressor protein,263
YDD24675.1,PX673726.1,algae,P9 mCP,210
YDD24676.1,PX673726.1,algae,hypothetical protein,242
YDD24677.1,PX673726.1,algae,hypothetical protein,110
YDD24678.1,PX673726.1,algae,hypothetical protein,170
YDD24679.1,PX673726.1,algae,hypothetical protein,179
YDD24680.1,PX673726.1,algae,hypothetical protein,233
YDD24681.1,PX673726.1,algae,transposase,345
YDD24682.1,PX673726.1,algae,hypothetical protein,72
YDD24683.1,PX673726.1,algae,HNH homing endonuclease,349
YDD24684.1,PX673726.1,algae,kinase protein,192
YDD24685.1,PX673726.1,algae,replication factor C,433
YDD24686.1,PX673726.1,algae,hypothetical protein,70
YDD24687.1,PX673726.1,algae,P13 mCP,98
YDD24688.1,PX673726.1,algae,HNH homing endonuclease,319
YDD24689.1,PX673726.1,algae,hypothetical protein,63
YDD24690.1,PX673726.1,algae,hypothetical protein,157
YDD24691.1,PX673726.1,algae,hypothetical protein,109
YDD24692.1,PX673726.1,algae,hypothetical protein,114
YDD24693.1,PX673726.1,algae,thioredoxin,113
YDD24694.1,PX673726.1,algae,hypothetical protein,102
YDD24695.1,PX673726.1,algae,espin,476
YDD24696.1,PX673726.1,algae,hypothetical protein,173
YDD24697.1,PX673726.1,algae,PBCV-specific basic adaptor domain-containing protein,64
YDD24698.1,PX673726.1,algae,HNH homing endonuclease,326
YDD24699.1,PX673726.1,algae,chromosomal protein MC1a,107
YDD24700.1,PX673726.1,algae,glutaredoxin,78
YDD24701.1,PX673726.1,algae,transmembrane protein,75
YDD24702.1,PX673726.1,algae,hypothetical protein,56
YDD24703.1,PX673726.1,algae,hypothetical protein,91
YDD24704.1,PX673726.1,algae,hypothetical protein,137
YDD24705.1,PX673726.1,algae,GCN1,308
YDD24706.1,PX673726.1,algae,SAM-dependent methyltransferase,220
YDD24707.1,PX673726.1,algae,hypothetical protein,104
YDD24708.1,PX673726.1,algae,protein kinase,462
YDD24709.1,PX673726.1,algae,protein disulfide isomerase,106
YDD24710.1,PX673726.1,algae,hypothetical protein,139
YDD24711.1,PX673726.1,algae,mRNA capping enzyme beta chain,193
YDD24712.1,PX673726.1,algae,domain of unknown function DUF 1390,188
YDD24713.1,PX673726.1,algae,domain of unknown function DUF 1390,249
YDD24714.1,PX673726.1,algae,hypothetical protein,78
YDD24715.1,PX673726.1,algae,P10 mCP,289
YDD24716.1,PX673726.1,algae,ATPase,654
YDD24717.1,PX673726.1,algae,cell division protein FtsB,77
YDD24718.1,PX673726.1,algae,RNase III,275
YDD24719.1,PX673726.1,algae,FAD-linked sulfhydryl oxidase,118
YDD24720.1,PX673726.1,algae,PD-(D/E)XK endonuclease-like domain superfamily,312
YDD24721.1,PX673726.1,algae,DNA primase,443
YDD24722.1,PX673726.1,algae,hypothetical protein,215
YDD24723.1,PX673726.1,algae,hypothetical protein,173
YDD24724.1,PX673726.1,algae,cellulose synthase,517
YDD24725.1,PX673726.1,algae,ribonucleoside-diphosphate reductase small subunit,324
YDD24726.1,PX673726.1,algae,restriction endonuclease,310
YDD24727.1,PX673726.1,algae,P16 mCP,92
YDD24728.1,PX673726.1,algae,E3 ubiquitin protein ligase,224
YDD24729.1,PX673726.1,algae,MYM-type zinc finger with FCS sequence motif,217
YDD24730.1,PX673726.1,algae,P15 mCP,155
YDD24731.1,PX673726.1,algae,hypothetical protein,148
YDD24732.1,PX673726.1,algae,hypothetical protein,319
YDD24733.1,PX673726.1,algae,hypothetical protein,76
YDD24734.1,PX673726.1,algae,hypothetical protein,180
YDD24735.1,PX673726.1,algae,hypothetical protein,187
YDD24736.1,PX673726.1,algae,putative transcription factor,360
YDD24737.1,PX673726.1,algae,hypothetical protein,135
YDD24738.1,PX673726.1,algae,P14 mCP,362
YDD24739.1,PX673726.1,algae,transmembrane protein,95
YDD24740.1,PX673726.1,algae,hypothetical protein,281
YDD24741.1,PX673726.1,algae,hypothetical protein,484
YDD24742.1,PX673726.1,algae,cell envelope protein,447
YDD24743.1,PX673726.1,algae,hypothetical protein,776
YDD24744.1,PX673726.1,algae,cytosine-specific methyltransferase,357
YDD24745.1,PX673726.1,algae,hypothetical protein,82
YDD24746.1,PX673726.1,algae,hypothetical protein,100
YDD24747.1,PX673726.1,algae,hypothetical protein,181
YDD24748.1,PX673726.1,algae,P4 mCP,202
YDD24749.1,PX673726.1,algae,P3 mCP,172
YDD24750.1,PX673726.1,algae,P5 mCP,146
YDD24751.1,PX673726.1,algae,hypothetical protein,99
YDD24752.1,PX673726.1,algae,hypothetical protein,89
YDD24753.1,PX673726.1,algae,cytosine-specific methyltransferase,346
YDD24754.1,PX673726.1,algae,hypothetical protein,66
YDD24755.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,181
YDD24756.1,PX673726.1,algae,potassium voltage-gated channel protein,79
YDD24757.1,PX673726.1,algae,hypothetical protein,50
YDD24758.1,PX673726.1,algae,P1v1 mCP,530
YDD24759.1,PX673726.1,algae,hypothetical protein,71
YDD24760.1,PX673726.1,algae,P7 mCP,73
YDD24761.1,PX673726.1,algae,hypothetical protein,265
YDD24762.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,173
YDD24763.1,PX673726.1,algae,Chlorovirus glycoprotein repeat domain-containing protein,1214
YDD24764.1,PX673726.1,algae,DNA ligase,298
YDD24765.1,PX673726.1,algae,glycosyl transferase,396
YDD24766.1,PX673726.1,algae,ATP-dependent helicase,458
YDD24767.1,PX673726.1,algae,dUTPase,141
YDD24768.1,PX673726.1,algae,transcription factor TFIID,317
YDD24769.1,PX673726.1,algae,tRNA(Ile)-lysidine synthase,498
YDD24770.1,PX673726.1,algae,major capsid protein VP54,400
YDD24771.1,PX673726.1,algae,DotF; TRANSLOCASE,213
YDD24772.1,PX673726.1,algae,alginate lyase,306
YDD24855.1,PX673726.1,algae,alginate lyase,353
YDD24774.1,PX673726.1,algae,hypothetical protein,351
YDD24775.1,PX673726.1,algae,P7 mCP,672
YDD24776.1,PX673726.1,algae,hypothetical protein,158
YDD24777.1,PX673726.1,algae,hypothetical protein,179
YDD24778.1,PX673726.1,algae,E3 ubiquitin protein ligase,128
YDD24779.1,PX673726.1,algae,PBCV-specific basic adaptor domain-containing protein,116
YDD24780.1,PX673726.1,algae,P4 mCP,181
YDD24781.1,PX673726.1,algae,putative DNA polymerase sliding clamp 2,250
YDD24782.1,PX673726.1,algae,hypothetical protein,168
YDD24783.1,PX673726.1,algae,hypothetical protein,133
YDD24784.1,PX673726.1,algae,DNA topoisomerase II,479
YDD24785.1,PX673726.1,algae,GIY-YIG catalytic domain-containing endonuclease,184
YDD24786.1,PX673726.1,algae,DNA topoisomerase II,570
YDD24787.1,PX673726.1,algae,initiation-control protein YabA,237
YDD24789.1,PX673726.1,algae,hypothetical protein,308
YDD24790.1,PX673726.1,algae,hypothetical protein,69
YDD24791.1,PX673726.1,algae,hypothetical protein,276
YDD24792.1,PX673726.1,algae,dCMP deaminase,142
YDD24793.1,PX673726.1,algae,histidine decarboxylase,363
YDD24794.1,PX673726.1,algae,hypothetical protein,80
YDD24795.1,PX673726.1,algae,hypothetical protein,140
YDD24796.1,PX673726.1,algae,hypothetical protein,105
YDD24798.1,PX673726.1,algae,Zn metallopeptidase,134
YDD24799.1,PX673726.1,algae,hypothetical protein,158
YDD24800.1,PX673726.1,algae,ankyrin repeat-containing protein,391
YDD24801.1,PX673726.1,algae,UDP-N-acetyl-D-mannosamine dehydrogenase,389
YDD24802.1,PX673726.1,algae,SET domain-containing protein,119
YDD24803.1,PX673726.1,algae,PBCV-specific basic adaptor domain-containing protein,577
YDD24804.1,PX673726.1,algae,serine/threonine protein kinase,321
YDD24805.1,PX673726.1,algae,transposase,125
YDD24806.1,PX673726.1,algae,transposase,232
YDD24807.1,PX673726.1,algae,hypothetical protein,83
YDD24808.1,PX673726.1,algae,hypothetical protein,117
YDD24809.1,PX673726.1,algae,major capsid protein VP54,482
YDD24810.1,PX673726.1,algae,ORFan NMG-1,97
YDD24811.1,PX673726.1,algae,HNH homing endonuclease,115
YDD24812.1,PX673726.1,algae,HNH endonuclease,179
YDD24813.1,PX673726.1,algae,ORFan,133
YDD24814.1,PX673726.1,algae,zinc finger domain-containing stress-associated protein,67
YDD24815.1,PX673726.1,algae,putative membrane protein (DUF2177),121
YDD24816.1,PX673726.1,algae,ubiquitin carboxyl-terminal hydrolase,446
YDD24817.1,PX673726.1,algae,hypothetical protein,97
YDD24818.1,PX673726.1,algae,ribonucleotide reductase large subunit,766
YDD24819.1,PX673726.1,algae,hypothetical protein,120
YDD24820.1,PX673726.1,algae,hypothetical protein,134
YDD24821.1,PX673726.1,algae,hypothetical protein,85
YDD24822.1,PX673726.1,algae,hypothetical protein,52
YDD24823.1,PX673726.1,algae,hypothetical protein,141
YDD24824.1,PX673726.1,algae,agmatine deiminase,359
YDD24825.1,PX673726.1,algae,HNH homing endonuclease,336
YDD24826.1,PX673726.1,algae,hypothetical protein,461
YDD24827.1,PX673726.1,algae,P8 mCP,173
YDD24828.1,PX673726.1,algae,protein kinase,123
YDD24829.1,PX673726.1,algae,protein of unknown function (DUF1390),253
YDD24830.1,PX673726.1,algae,intron-associated endonuclease 1,230
YDD24831.1,PX673726.1,algae,acetyltransferase,197
YDD24832.1,PX673726.1,algae,collagen,255
YDD24833.1,PX673726.1,algae,lipopolysaccharide biosynthesis protein,194
YDD24834.1,PX673726.1,algae,Mpv17 / PMP22 family protein,171
YDD24835.1,PX673726.1,algae,hypothetical protein,154
YDD24836.1,PX673726.1,algae,hypothetical protein,151
YDD24837.1,PX673726.1,algae,elongation factor 3,918
YDD24838.1,PX673726.1,algae,ankyrin repeat PH and SEC7 domain containing protein,211
YDD24839.1,PX673726.1,algae,thymidylate synthase,216
YDD24840.1,PX673726.1,algae,hypothetical protein,385
YDD24841.1,PX673726.1,algae,PBCV-specific basic adaptor domain-containing protein,120
YDD24842.1,PX673726.1,algae,PBCV-specific basic adaptor domain-containing protein,260
YDD24843.1,PX673726.1,algae,ankyrin repeat PH and SEC7 domain containing protein,370
YDD24844.1,PX673726.1,algae,hypothetical protein,56
YDD24845.1,PX673726.1,algae,ankyrin repeat PH and SEC7 domain containing protein,235
ULY68418.1,OL828819.1,algae,hypothetical protein,213
ULY68419.1,OL828819.1,algae,collagen-like protein,696
ULY68420.1,OL828819.1,algae,hypothetical protein,155
ULY68422.1,OL828819.1,algae,primase-helicase,844
ULY68421.1,OL828819.1,algae,hypothetical protein,133
ULY68423.1,OL828819.1,algae,hypothetical protein,308
ULY68424.1,OL828819.1,algae,cysteine protease,573
ULY68425.1,OL828819.1,algae,hypothetical protein,125
ULY68426.1,OL828819.1,algae,hypothetical protein,260
ULY68427.1,OL828819.1,algae,ATPase,253
ULY68428.1,OL828819.1,algae,hypothetical protein,273
ULY68429.1,OL828819.1,algae,hypothetical protein,778
ULY68430.1,OL828819.1,algae,hypothetical protein,590
ULY68431.1,OL828819.1,algae,major capsid protein,573
ULY68432.1,OL828819.1,algae,minor capsid protein,427
ULY68433.1,OL828819.1,algae,hypothetical protein,435
XKM48157.1,PQ442268.1,algae,hypothetical protein,127
XKM48158.1,PQ442268.1,algae,hypothetical protein,77
XKM48159.1,PQ442268.1,algae,hypothetical protein,267
XKM48160.1,PQ442268.1,algae,hypothetical protein,446
XKM48161.1,PQ442268.1,algae,hypothetical protein,163
XKM48162.1,PQ442268.1,algae,hypothetical protein,136
XKM48163.1,PQ442268.1,algae,hypothetical protein,732
XKM48164.1,PQ442268.1,algae,hypothetical protein,578
XKM48165.1,PQ442268.1,algae,hypothetical protein,234
XKM48166.1,PQ442268.1,algae,hypothetical protein,152
XKM48167.1,PQ442268.1,algae,hypothetical protein,83
XKM48168.1,PQ442268.1,algae,hypothetical protein,191
XKM48169.1,PQ442268.1,algae,hypothetical protein,244
XKM48170.1,PQ442268.1,algae,hypothetical protein,396
XKM48171.1,PQ442268.1,algae,hypothetical protein,59
XKM48172.1,PQ442268.1,algae,hypothetical protein,105
XKM48173.1,PQ442268.1,algae,hypothetical protein,122
XKM48174.1,PQ442268.1,algae,Transcription factor S-II (TFIIS),170
XKM48175.1,PQ442268.1,algae,hypothetical protein,78
XKM48176.1,PQ442268.1,algae,hypothetical protein,107
XKM48177.1,PQ442268.1,algae,hypothetical protein,85
XKM48178.1,PQ442268.1,algae,Asparagine synthase,506
XKM48179.1,PQ442268.1,algae,hypothetical protein,149
XKM48180.1,PQ442268.1,algae,hypothetical protein,202
XKM48181.1,PQ442268.1,algae,hypothetical protein,223
XKM48182.1,PQ442268.1,algae,hypothetical protein,210
XKM48183.1,PQ442268.1,algae,hypothetical protein,114
XKM48184.1,PQ442268.1,algae,hypothetical protein,231
XKM48185.1,PQ442268.1,algae,hypothetical protein,261
XKM48186.1,PQ442268.1,algae,hypothetical protein,243
XKM48187.1,PQ442268.1,algae,hypothetical protein,159
XKM48188.1,PQ442268.1,algae,hypothetical protein,55
XKM48189.1,PQ442268.1,algae,hypothetical protein,125
XKM48190.1,PQ442268.1,algae,hypothetical protein,91
XKM48191.1,PQ442268.1,algae,hypothetical protein,120
XKM48192.1,PQ442268.1,algae,hypothetical protein,57
XKM48193.1,PQ442268.1,algae,hypothetical protein,119
XKM48194.1,PQ442268.1,algae,hypothetical protein,168
XKM48195.1,PQ442268.1,algae,hypothetical protein,204
XKM48196.1,PQ442268.1,algae,hypothetical protein,203
XKM48197.1,PQ442268.1,algae,hypothetical protein,62
XKM48198.1,PQ442268.1,algae,hypothetical protein,441
XKM48199.1,PQ442268.1,algae,hypothetical protein,92
XKM48200.1,PQ442268.1,algae,hypothetical protein,92
XKM48201.1,PQ442268.1,algae,hypothetical protein,287
XKM48202.1,PQ442268.1,algae,hypothetical protein,237
XKM48203.1,PQ442268.1,algae,hypothetical protein,260
XKM48204.1,PQ442268.1,algae,hypothetical protein,78
XKM48205.1,PQ442268.1,algae,hypothetical protein,215
XKM48206.1,PQ442268.1,algae,hypothetical protein,494
XKM48207.1,PQ442268.1,algae,hypothetical protein,101
XKM48208.1,PQ442268.1,algae,hypothetical protein,431
XKM48209.1,PQ442268.1,algae,hypothetical protein,109
XKM48210.1,PQ442268.1,algae,hypothetical protein,60
XKM48211.1,PQ442268.1,algae,hypothetical protein,445
XKM48212.1,PQ442268.1,algae,major capsid protein,356
XKM48213.1,PQ442268.1,algae,hypothetical protein,778
XKM48214.1,PQ442268.1,algae,hypothetical protein,79
XKM48215.1,PQ442268.1,algae,hypothetical protein,58
